node_id,load_element_count,max_abs_error_kw,mean_abs_error_kw,observed_mean,expected_mean,observed_max,expected_max,profile_observed_correlation,exact_match_at_1e-5,load_elements
p10rlv10217,2,3.22581994712695,0.8969986992658305,3.0520049079368103,2.8333101239176237,4.406134605407715,4.226062519798277,-0.26162358105168176,False,"[{""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":129},{""profile"":""com_kw_38868-South-Central_pu.csv"",""kW"":2.1130312598991385,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":131}]"
p10rlv11104,2,8.775375614250002,0.764283505620135,1.796746685708018,1.344607454601927,10.223422050476074,8.906081025740523,0.30532269099920045,False,"[{""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":133},{""profile"":""res_kw_16002-South-Central_pu.csv"",""kW"":4.4530405128702615,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":135}]"
p10rlv11105,2,1.3652354765682715,0.062234665173247446,0.1187383479354733,0.06255317306536141,1.4287571907043457,0.26125178316771935,0.04012661983648572,False,"[{""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":137},{""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":139}]"
p10rlv11392,2,2.419844194853383,0.17443700260300002,0.42648256813158963,0.44623238387307484,2.6794400215148926,2.799478746096811,0.8416182309103226,False,"[{""profile"":""res_kw_11856-South-Central_pu.csv"",""kW"":1.3997393730484056,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":141},{""profile"":""res_kw_11856-South-Central_pu.csv"",""kW"":1.3997393730484056,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":143}]"
p10rlv12002,2,9.288844017488339,0.6823903250999657,1.045318593858788,0.7933400306314368,9.781754493713379,6.777100322378619,0.11126071163029935,False,"[{""profile"":""res_kw_4055-South-Central_pu.csv"",""kW"":3.3885501611893094,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":145},{""profile"":""res_kw_4055-South-Central_pu.csv"",""kW"":3.3885501611893094,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":147}]"
p10rlv12029,2,6.5945340075190435,0.8990545111884822,2.194138129262177,1.7620791698208471,7.729160308837891,7.517944568851168,0.3392394766212283,False,"[{""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":149},{""profile"":""res_kw_26086-South-Central_pu.csv"",""kW"":3.758972284425584,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":151}]"
p10rlv12030,2,13.772258490436476,1.6748251700370993,1.7512195569986146,2.5941740753709146,13.50843620300293,15.995020121448439,0.2476966765958719,False,"[{""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":153},{""profile"":""res_kw_10645-South-Central_pu.csv"",""kW"":7.9975100607242195,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":155}]"
p10rlv12345,2,3.6677307770833165,0.4597475121249528,0.8538995684349918,0.9525123706715063,4.833494186401367,5.412449239842817,0.5821854253787627,False,"[{""profile"":""res_kw_6795-South-Central_pu.csv"",""kW"":2.7062246199214086,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":157},{""profile"":""res_kw_6795-South-Central_pu.csv"",""kW"":2.7062246199214086,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":159}]"
p10rlv13496,2,8.886092370682386,0.8449707589680283,1.0918252835713633,1.0973767214772985,3.9933273792266846,9.538234108656486,0.06713113827086208,False,"[{""profile"":""res_kw_22490-South-Central_pu.csv"",""kW"":4.769117054328243,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":161},{""profile"":""res_kw_22490-South-Central_pu.csv"",""kW"":4.769117054328243,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":163}]"
p10rlv13829,2,2.5944545772520677,0.364612707750765,0.42648256813158963,0.06255317306536141,2.6794400215148926,0.26125178316771935,0.38332582251399605,False,"[{""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":165},{""profile"":""res_kw_30417-South-Central_pu.csv"",""kW"":0.13062589158385968,""dss_timeseries_multiplier"":1.0,""center_tap_split"":true,""parquet_split_multiplier_if_used"":0.5,""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":167}]"
